CouponId,Name,Type,Status,Createdate
1,COP2017,15,Close,2017-07-18 14:33:56
2,COP2017ERP,20,Close,2017-07-18 14:33:59
3,DEF2017,40,Close,2017-07-18 14:34:32
4,CAZ2017,4,Close,2017-07-18 14:36:40
5,COPR2017,10,Close,2017-07-18 14:37:59
6,JZ1935,35,Close,2017-09-08 14:30:00
7,TEST75,75,Close,2017-09-08 18:14:59
8,Hu50,50,Close,2019-07-08 16:53:42
9,fang50,50,Close,2019-07-08 16:58:08
10,Ma30,30,Close,2019-07-08 17:01:54
11,sh20,20,Close,2019-07-26 00:16:53
12,latesummer50,50,Close,2019-08-22 13:28:13

