NewsID,Sign,Content,PostTime,ViewCount
2,Our new destributors,"<p><a href=""http://stem-immune.com/contact-distrib",2016-04-10 19:08:59,0
3,Position Openings,"<p style=""margin-left:144.2pt""><span style=&#3",2016-06-24 03:40:58,0
4,WNT Proteins Release,"<h2><a href=""http://www.stem-immune.com/cytokine-s",2016-07-23 17:19:21,0
5,New Proteases release,"<p><a href=""http://www.stem-immune.com/product-sho",2016-08-27 10:49:28,0
6,EZPure Magnetic Products release,"<p><strong><a href=""http://stem-immune.com/product",2016-12-17 19:02:06,0
7,Vitronectins Release,"<p>Two kind of Vetronectins are released: <a href=&#34;http://www.stem-immune.com/cytokine-show.php?id=53&#34;>Human cell derived</a> and <a href=""http://www.",2017-01-10 19:50:56,0
8,Humanized Recombinant Human IL-21 (Interleukin 21) Released,"<p><a href=""http://stem-immune.com/product-show.ph",2017-07-16 16:14:34,0
9,CD 293 Medium released,"<h2><a href=""http://stem-immune.com/product-show.p",2018-05-05 02:06:21,0
11,High efficiency transfection PEI release,"<h3><a href=""https://www.stem-immune.com/product-s",2018-06-22 15:57:13,0
12,"Citations, published scientific articles","<h3><span style=""color:#008000""><strong><span ",2018-11-26 22:02:09,0

